sortOrder;channelNumber;channelName;channelImage
1;1;ARD;1_HD.png
2;2;ZDF;ZDF_HD.png
3;3;RTL;RTL.png
4;4;Sat1;Sat1.png
5;5;PRO7;Pro7.png
6;6;Vox;Vox.png
7;7;Kabel1;kabel1.png
8;8;RTL2;RTL2.png
9;9;SuperRTL;Super_RTL.png
10;12;3Sat;3sat_HD.png
11;13;Welt;
12;14;NTV;NTV.png
13;15;Phoenix;phoenix_HD.png
14;16;Tele5;Tele5.png
15;17;NeoHD;neo_HD.png
16;50;Eurosport;Eurosport-HD.png
17;51;Sport1;Sport1-HD.png
18;64;DMax;DMAX-HD.png
19;69;7Maxx;
20;75;Sixx;SIXX.png
21;89;K1Doku;kabel_eins_doku.png
22;90;N24Doku;
23;93;ZDFInfo;zdfinfo_HD.png
24;99;MTV;MTV.png
